secid,date,days,volatility,ticker,index_flag
101310,11/11/2020,730,0.342253,AMZN,0
101310,11/11/2020,1825,0.304583,AMZN,0
101310,11/12/2020,10,0.586357,AMZN,0
101310,11/12/2020,14,0.599692,AMZN,0
101310,11/12/2020,30,0.443308,AMZN,0
101310,11/12/2020,60,0.431644,AMZN,0
101310,11/12/2020,91,0.413958,AMZN,0
101310,11/12/2020,122,0.404385,AMZN,0
101310,11/12/2020,152,0.396505,AMZN,0
101310,11/12/2020,182,0.375061,AMZN,0
101310,11/12/2020,273,0.424061,AMZN,0
101310,11/12/2020,365,0.384172,AMZN,0
101310,11/12/2020,547,0.335277,AMZN,0
101310,11/12/2020,730,0.342309,AMZN,0
101310,11/12/2020,1825,0.304494,AMZN,0
101310,11/13/2020,10,0.582957,AMZN,0
101310,11/13/2020,14,0.522627,AMZN,0
101310,11/13/2020,30,0.43946,AMZN,0
101310,11/13/2020,60,0.431751,AMZN,0
101310,11/13/2020,91,0.414064,AMZN,0
101310,11/13/2020,122,0.404353,AMZN,0
101310,11/13/2020,152,0.394697,AMZN,0
101310,11/13/2020,182,0.374982,AMZN,0
101310,11/13/2020,273,0.423959,AMZN,0
101310,11/13/2020,365,0.384186,AMZN,0
101310,11/13/2020,547,0.334977,AMZN,0
101310,11/13/2020,730,0.341994,AMZN,0
101310,11/13/2020,1825,0.30438,AMZN,0
101310,11/16/2020,10,0.482881,AMZN,0
101310,11/16/2020,14,0.51753,AMZN,0
101310,11/16/2020,30,0.445977,AMZN,0
101310,11/16/2020,60,0.431814,AMZN,0
101310,11/16/2020,91,0.413478,AMZN,0
101310,11/16/2020,122,0.406149,AMZN,0
101310,11/16/2020,152,0.397352,AMZN,0
101310,11/16/2020,182,0.374926,AMZN,0
101310,11/16/2020,273,0.422844,AMZN,0
101310,11/16/2020,365,0.384033,AMZN,0
101310,11/16/2020,547,0.334506,AMZN,0
101310,11/16/2020,730,0.342015,AMZN,0
101310,11/16/2020,1825,0.304292,AMZN,0
101310,11/17/2020,10,0.445545,AMZN,0
101310,11/17/2020,14,0.514331,AMZN,0
101310,11/17/2020,30,0.435398,AMZN,0
101310,11/17/2020,60,0.429174,AMZN,0
101310,11/17/2020,91,0.40544,AMZN,0
101310,11/17/2020,122,0.403755,AMZN,0
101310,11/17/2020,152,0.397319,AMZN,0
101310,11/17/2020,182,0.374777,AMZN,0
101310,11/17/2020,273,0.422751,AMZN,0
101310,11/17/2020,365,0.383999,AMZN,0
101310,11/17/2020,547,0.334461,AMZN,0
101310,11/17/2020,730,0.341674,AMZN,0
101310,11/17/2020,1825,0.304284,AMZN,0
101310,11/18/2020,10,0.412631,AMZN,0
101310,11/18/2020,14,0.398765,AMZN,0
101310,11/18/2020,30,0.431534,AMZN,0
101310,11/18/2020,60,0.424883,AMZN,0
101310,11/18/2020,91,0.404715,AMZN,0
101310,11/18/2020,122,0.401787,AMZN,0
101310,11/18/2020,152,0.397572,AMZN,0
101310,11/18/2020,182,0.374283,AMZN,0
101310,11/18/2020,273,0.422926,AMZN,0
101310,11/18/2020,365,0.38418,AMZN,0
